Time(longsecs),Time(UTC),Temperature(&deg;C),Sensor SOH Voltage 1(V),Sensor SOH Voltage 2(V),Sensor SOH Voltage 3(V),
1507323497,2017-10-06 20:58:17.586,2.3232635E1,-1.1775379E0,-1.1714458E0,-1.1798992E0,
1507323557,2017-10-06 20:59:17.586,2.3029633E1,-1.159111E0,-1.1569481E0,-1.1667166E0,
1507323617,2017-10-06 21:00:17.586,2.2926544E1,-1.1598864E0,-1.1541615E0,-1.1624775E0,
1507323677,2017-10-06 21:01:17.584,2.2932861E1,-1.1697044E0,-1.1674223E0,-1.1724348E0,
1507323737,2017-10-06 21:02:17.584,2.300122E1,-1.1835117E0,-1.1800861E0,-1.1873856E0,
1507323797,2017-10-06 21:03:17.584,2.302649E1,-1.1740332E0,-1.1699429E0,-1.177124E0,
1507323857,2017-10-06 21:04:17.584,2.2869751E1,-1.1733923E0,-1.1705961E0,-1.1776428E0,
1507323917,2017-10-06 21:05:17.586,2.3173737E1,-1.183816E0,-1.1816196E0,-1.1885395E0,
1507323977,2017-10-06 21:06:17.584,2.316214E1,-1.1636372E0,-1.1681852E0,-1.1709347E0,
1507324037,2017-10-06 21:07:17.584,2.326944E1,-1.1651258E0,-1.1633892E0,-1.1727037E0,
1507324097,2017-10-06 21:08:17.584,2.2975983E1,-1.1705484E0,-1.1678381E0,-1.1728544E0,
1507324157,2017-10-06 21:09:17.584,2.313269E1,-1.1727781E0,-1.16784E0,-1.1805038E0,
1507324217,2017-10-06 21:10:17.584,2.2823486E1,-1.1672544E0,-1.1621647E0,-1.16955E0,
1507324277,2017-10-06 21:11:17.585,2.3034882E1,-1.1663437E0,-1.163043E0,-1.1713524E0,
1507324337,2017-10-06 21:12:17.584,2.2887634E1,-1.1639462E0,-1.1630974E0,-1.1741333E0,
1507324397,2017-10-06 21:13:17.584,2.2941284E1,-1.1758947E0,-1.1713915E0,-1.1816769E0,
1507324457,2017-10-06 21:14:17.584,2.3091675E1,-1.1689472E0,-1.165597E0,-1.1735764E0,
1507324517,2017-10-06 21:15:17.584,2.2885529E1,-1.1689196E0,-1.1626081E0,-1.1737347E0,
1507324577,2017-10-06 21:16:17.584,2.2942322E1,-1.1705275E0,-1.1663456E0,-1.1756144E0,
1507324637,2017-10-06 21:17:17.584,2.2925507E1,-1.172636E0,-1.1676579E0,-1.1776886E0,
1507324697,2017-10-06 21:18:17.609,2.3004395E1,-1.1692944E0,-1.1623745E0,-1.1780596E0,
1507324757,2017-10-06 21:19:17.584,2.2974945E1,-1.1613998E0,-1.1612186E0,-1.1719856E0,
1507324817,2017-10-06 21:20:17.584,2.286029E1,-1.1641665E0,-1.1606407E0,-1.1721478E0,
1507324877,2017-10-06 21:21:17.585,2.3140076E1,-1.1693773E0,-1.1720829E0,-1.176588E0,
1507324937,2017-10-06 21:22:17.584,2.2807709E1,-1.1700125E0,-1.1675997E0,-1.1698008E0,
1507324997,2017-10-06 21:23:17.584,2.2973877E1,-1.1715403E0,-1.164855E0,-1.1740866E0,
1507325057,2017-10-06 21:24:17.584,2.3018066E1,-1.1696472E0,-1.1640749E0,-1.1764507E0,
